Partlist

Exported from F030_R01.sch at 31.10.2019 12:09

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device                         Package            Library      Sheet

BAT1     CR2032             CR2032-T                       CH29-2032          F030NG       8
C1       68p                C-EUC0805                      C0805              rcl          1
C2       68p                C-EUC0805                      C0805              rcl          1
C3       33p                C-EUC0805                      C0805              rcl          1
C4       33p                C-EUC0805                      C0805              rcl          1
C5       100p               C-EUC0805                      C0805              rcl          1
C6       100n               C-EUC0805                      C0805              rcl          1
C7       100n               C-EUC0805                      C0805              rcl          1
C8       100n               C-EUC0805                      C0805              rcl          1
C9       100n               C-EUC0805                      C0805              rcl          1
C10      100n               C-EUC0805                      C0805              rcl          1
C11      100n               C-EUC0805                      C0805              rcl          1
C12      100n               C-EUC0805                      C0805              rcl          1
C13      100n               C-EUC0805                      C0805              rcl          1
C14      100n               C-EUC0805                      C0805              rcl          2
C15      100n               C-EUC0805                      C0805              rcl          2
C16      100n               C-EUC0805                      C0805              rcl          2
C17      100n               C-EUC0805                      C0805              rcl          2
C18      100n               C-EUC0805                      C0805              rcl          2
C19      100n               C-EUC0805                      C0805              rcl          2
C20      100n               C-EUC0805                      C0805              rcl          2
C21      100n               C-EUC0805                      C0805              rcl          2
C22      100n               C-EUC0805                      C0805              rcl          2
C23      100n               C-EUC0805                      C0805              rcl          2
C24      100n               C-EUC0805                      C0805              rcl          2
C25      100n               C-EUC0805                      C0805              rcl          2
C26      100n               C-EUC0805                      C0805              rcl          2
C27      100n               C-EUC0805                      C0805              rcl          2
C28      100n               C-EUC0805                      C0805              rcl          2
C29      10p                C-EUC0805                      C0805              rcl          3
C30      1u                 C-EUC0805                      C0805              rcl          3
C31      10p                C-EUC0805                      C0805              rcl          3
C32      10p                C-EUC0805                      C0805              rcl          3
C33      10p                C-EUC0805                      C0805              rcl          3
C34      10p                C-EUC0805                      C0805              rcl          3
C35      10p                C-EUC0805                      C0805              rcl          3
C36      10p                C-EUC0805                      C0805              rcl          3
C37      68p                C-EUC0805                      C0805              rcl          3
C38      68p                C-EUC0805                      C0805              rcl          3
C39      68p                C-EUC0805                      C0805              rcl          3
C40      68p                C-EUC0805                      C0805              rcl          3
C41      68p                C-EUC0805                      C0805              rcl          3
C42      68p                C-EUC0805                      C0805              rcl          3
C43      47p                C-EUC0805                      C0805              rcl          3
C44      47p                C-EUC0805                      C0805              rcl          3
C45      47p                C-EUC0805                      C0805              rcl          3
C46      100u               CPOL-EUE2.5-6                  E2,5-6             rcl          10
C47      100n               C-EUC0805                      C0805              rcl          3
C48      100n               C-EUC0805                      C0805              rcl          3
C50      100n               C-EUC0805                      C0805              rcl          3
C51      100n               C-EUC0805                      C0805              rcl          3
C52      100n               C-EUC0805                      C0805              rcl          3
C53      100n               C-EUC0805                      C0805              rcl          3
C54      100n               C-EUC0805                      C0805              rcl          3
C55      100n               C-EUC0805                      C0805              rcl          3
C56      100n               C-EUC0805                      C0805              rcl          3
C57      100n               C-EUC0805                      C0805              rcl          3
C58      100n               C-EUC0805                      C0805              rcl          3
C59      100n               C-EUC0805                      C0805              rcl          3
C60      100n               C-EUC0805                      C0805              rcl          3
C61      100n               C-EUC0805                      C0805              rcl          3
C62      100n               C-EUC0805                      C0805              rcl          3
C63      100n               C-EUC0805                      C0805              rcl          3
C64      100n               C-EUC0805                      C0805              rcl          3
C65      100n               C-EUC0805                      C0805              rcl          3
C66      100n               C-EUC0805                      C0805              rcl          3
C67      100n               C-EUC0805                      C0805              rcl          3
C68      100n               C-EUC0805                      C0805              rcl          4
C69      100n               C-EUC0805                      C0805              rcl          4
C70      100n               C-EUC0805                      C0805              rcl          4
C71      100n               C-EUC0805                      C0805              rcl          5
C72      1u                 C-EUC0805                      C0805              rcl          21
C73      100n               C-EUC0805                      C0805              rcl          5
C74      100n               C-EUC0805                      C0805              rcl          5
C75      100n               C-EUC0805                      C0805              rcl          5
C76      100n               C-EUC0805                      C0805              rcl          5
C77      100n               C-EUC0805                      C0805              rcl          5
C78      100n               C-EUC0805                      C0805              rcl          5
C79      100n               C-EUC0805                      C0805              rcl          6
C80      100n               C-EUC0805                      C0805              rcl          6
C81      100n               C-EUC0805                      C0805              rcl          7
C82      4u7                CPOL-EUE2-5                    E2-5               rcl          8
C83      10n                C-EUC0805                      C0805              rcl          8
C84      100n               C-EUC0805                      C0805              rcl          8
C85      22u                CPOL-EUE2.5-6                  E2,5-6             rcl          8
C86      100n               C-EUC0805                      C0805              rcl          8
C87      100n               C-EUC0805                      C0805              rcl          8
C88      100p               C-EUC0805                      C0805              rcl          9
C89      100p               C-EUC0805                      C0805              rcl          9
C90      100p               C-EUC0805                      C0805              rcl          9
C91      100p               C-EUC0805                      C0805              rcl          9
C92      100n               C-EUC0805                      C0805              rcl          9
C93      100n               C-EUC0805                      C0805              rcl          9
C94      10p                C-EUC0805                      C0805              rcl          10
C95      220u               CPOL-EUE2.5-6                  E2,5-6             rcl          10
C96      100n               C-EUC0805                      C0805              rcl          10
